연도,주차,연령대,인플루엔자 검출률
2021,26,19-49세,0
2021,27,19-49세,0
2021,28,19-49세,0
2021,29,19-49세,0
2021,30,19-49세,0
2021,31,19-49세,0
2021,32,19-49세,0
2021,33,19-49세,0
2021,34,19-49세,0
2021,35,19-49세,0
2020,37,13-18세,0
2020,38,13-18세,0
2020,39,13-18세,0
2020,41,13-18세,0
2020,42,13-18세,0
2020,43,13-18세,0
2020,44,13-18세,0
2020,45,13-18세,0
2020,46,13-18세,0
2020,47,13-18세,0
2020,48,13-18세,0
2020,49,13-18세,0
2020,50,13-18세,0
2020,51,13-18세,0
2020,52,13-18세,0
2020,53,13-18세,0
2021,1,13-18세,0
2021,2,13-18세,0
2021,3,13-18세,0
2021,4,13-18세,0
2021,5,13-18세,0
2021,7,13-18세,0
2021,8,13-18세,0
2021,9,13-18세,0
2021,10,13-18세,0
2021,11,13-18세,0
2021,12,13-18세,0
2021,13,13-18세,0
2021,14,13-18세,0
2021,15,13-18세,0
2021,16,13-18세,0
2021,17,13-18세,0
2021,18,13-18세,0
2021,19,13-18세,0
2021,20,13-18세,0
2021,22,13-18세,0
2021,23,13-18세,0
2021,24,13-18세,0
2021,25,13-18세,0
2021,26,13-18세,0
2021,27,13-18세,0
2021,28,13-18세,0
2021,29,13-18세,0
2021,30,13-18세,0
2021,31,13-18세,0
2021,32,13-18세,0
2021,33,13-18세,0
2021,35,13-18세,0
2020,36,7-12세,0
2020,37,7-12세,0
2020,38,7-12세,0
2020,39,7-12세,0
2020,40,7-12세,0
2020,41,7-12세,0
2020,42,7-12세,0
2020,43,7-12세,0
2020,44,7-12세,0
2020,45,7-12세,0
2020,46,7-12세,0
2020,47,7-12세,0
2020,48,7-12세,0
2020,49,7-12세,0
2020,50,7-12세,0
2020,51,7-12세,0
2020,52,7-12세,0
2020,53,7-12세,0
2021,1,7-12세,0
2021,2,7-12세,0
2021,3,7-12세,0
2021,4,7-12세,0
2021,5,7-12세,0
2021,6,7-12세,0
2021,7,7-12세,0
2021,8,7-12세,0
2021,9,7-12세,0
2021,10,7-12세,0
2021,11,7-12세,0
2021,12,7-12세,0
2021,13,7-12세,0
2021,14,7-12세,0
2021,15,7-12세,0
2021,16,7-12세,0
2021,17,7-12세,0
2021,18,7-12세,0
2021,19,7-12세,0
2021,20,7-12세,0
2021,21,7-12세,0
2021,22,7-12세,0
2021,23,7-12세,0
2021,24,7-12세,0
2021,25,7-12세,0
2021,26,7-12세,0
2021,27,7-12세,0
2021,28,7-12세,0
2021,29,7-12세,0
2021,30,7-12세,0
2021,31,7-12세,0
2021,32,7-12세,0
2021,33,7-12세,0
2021,34,7-12세,0
2021,35,7-12세,0
2020,36,0-6세,0
2020,37,0-6세,0
2020,38,0-6세,0
2020,39,0-6세,0
2020,40,0-6세,0
2020,41,0-6세,0
2020,42,0-6세,0
2020,43,0-6세,0
2020,44,0-6세,0
2020,45,0-6세,0
2020,46,0-6세,0
2020,47,0-6세,0
2020,48,0-6세,0
2020,49,0-6세,0
2020,50,0-6세,0
2020,51,0-6세,0
2020,52,0-6세,0
2020,53,0-6세,0
2021,1,0-6세,0
2021,2,0-6세,0
2021,3,0-6세,0
2021,4,0-6세,0
2021,5,0-6세,0
2021,6,0-6세,0
2021,7,0-6세,0
2021,8,0-6세,0
2021,9,0-6세,0
2021,10,0-6세,0
2021,11,0-6세,0
2021,12,0-6세,0
2021,13,0-6세,0
2021,14,0-6세,0
2021,15,0-6세,0
2021,16,0-6세,0
2021,17,0-6세,0
2021,18,0-6세,0
2021,19,0-6세,0
2021,20,0-6세,0
2021,21,0-6세,0
2021,22,0-6세,0
2021,23,0-6세,0
2021,24,0-6세,0
2021,25,0-6세,0
2021,26,0-6세,0
2021,27,0-6세,0
2021,28,0-6세,0
2021,29,0-6세,0
2021,30,0-6세,0
2021,31,0-6세,0
2021,32,0-6세,0
2021,33,0-6세,0
2021,34,0-6세,0
2021,35,0-6세,0
